12.757: [GC [PSYoungGen: 61906K->544K(63424K)] 757926K->696843K(784320K), 0.0119396 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2168.113: [GC [PSYoungGen: 61920K->1340K(63424K)] 758219K->698007K(784320K), 0.0116168 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2196.054: [GC [PSYoungGen: 62780K->2048K(61824K)] 759447K->700339K(782720K), 0.0127746 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2212.547: [GC [PSYoungGen: 61824K->1472K(61696K)] 760115K->701651K(782592K), 0.0116190 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2246.804: [GC [PSYoungGen: 61120K->1765K(61440K)] 761299K->703211K(782336K), 0.0116386 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2247.301: [GC [PSYoungGen: 61413K->434K(62592K)] 762859K->703448K(783488K), 0.0104297 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2248.139: [GC [PSYoungGen: 60018K->608K(62528K)] 763032K->703888K(783424K), 0.0099672 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2249.247: [GC [PSYoungGen: 60192K->721K(62784K)] 763472K->704411K(783680K), 0.0109867 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2249.803: [GC [PSYoungGen: 60625K->224K(62656K)] 764315K->704229K(783552K), 0.0099295 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2250.432: [GC [PSYoungGen: 60128K->160K(62848K)] 764133K->704253K(783744K), 0.0100839 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2250.997: [GC [PSYoungGen: 60320K->192K(62848K)] 764413K->704365K(783744K), 0.0097750 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2251.453: [GC [PSYoungGen: 60352K->224K(62976K)] 764525K->704477K(783872K), 0.0099174 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2251.986: [GC [PSYoungGen: 60576K->192K(62912K)] 764829K->704549K(783808K), 0.0096038 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2252.651: [GC [PSYoungGen: 60544K->192K(63168K)] 764901K->704653K(784064K), 0.0102627 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2254.613: [GC [PSYoungGen: 60928K->192K(63104K)] 765389K->704717K(784000K), 0.0104354 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2257.271: [GC [PSYoungGen: 60928K->2294K(61440K)] 765453K->708002K(782336K), 0.0152759 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2259.361: [GC [PSYoungGen: 61430K->2792K(61952K)] 767138K->710289K(782848K), 0.0158579 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
